participant_ID	PIAT_Raw	PIAT_StS
sub-1002	84	95
sub-1076	81	106
sub-1077	92	116
sub-1078	85	120
sub-1079	63	96
sub-1080	96	137
sub-1081	75	108
sub-1082	61	98
sub-1083	97	120
sub-1084	88	118
sub-1086	79	114
sub-1089	99	129
sub-1090	87	111
sub-1091	68	100
sub-1101	98	127
sub-1102	97	143
sub-1103	89	107
sub-1105	73	108
sub-1107	68	96
sub-1110	77	101
sub-1111	83	107
sub-1116	87	106
sub-1117	83	122
sub-1118	91	119
sub-1119	90	114
sub-1122	78	111
sub-1129	54	79
sub-1130	86	114
sub-1131	86	114
sub-1148	68	101
sub-1156	93	124
sub-1160	93	113
sub-1161	100	145
sub-1169	74	101
sub-1178	78	105
sub-1180	93	121
sub-1181	71	97
sub-1184	80	110
sub-1185	93	108
sub-1187	94	123
sub-1190	98	133
sub-1191	69	97
sub-1192	69	102
sub-1193	84	115
sub-1194	83	99
sub-1195	80	109
sub-1196	92	112
sub-1197	69	104
sub-1198	65	97
sub-1199	68	83
sub-1203	92	120
sub-1204	76	106
sub-1205	94	127
sub-1206	93	111
sub-1208	96	116
sub-1209	77	100
sub-1210	87	97
sub-1211	90	120
sub-1213	65	99
sub-1219	30	71
sub-1220	58	93
sub-1223	60	96
sub-1225	84	103
sub-1228	54	90
sub-1229	80	98
sub-1231	45	68
sub-1240	88	102
sub-1246	81	116
sub-1247	84	121
sub-1248	84	108
sub-1250	84	93
sub-1251	64	81
sub-1252	69	84
sub-1255	49	89
sub-1257	80	103
sub-1265	88	122
sub-1268	48	86
sub-1269	91	103
sub-1276	25	61
sub-1277	83	105
sub-1278	77	107
sub-1283	79	88
sub-1284	83	105
